test,mode,horizon,optimized_enabled,translation_ms,setup_grounding_ms,solving_ms,memory_used_mb,workflow_candidates_found,constraints_used,timed_out
E2,multi-shot,1,true,18,5,0,97.45,0,true,false
E2,multi-shot,2,true,18,2,0,97.45,0,true,false
E2,multi-shot,3,true,18,5,0,97.45,0,true,false
E2,multi-shot,4,true,18,10,0,97.45,0,true,false
E2,multi-shot,5,true,18,17,0,97.45,0,true,false
E2,multi-shot,6,true,18,24,0,97.45,0,true,false
E2,multi-shot,7,true,18,38,0,97.45,0,true,false
E2,multi-shot,8,true,18,109,126,294.70,0,true,false
E2,multi-shot,9,true,18,117,202,415.22,0,true,false
E2,multi-shot,10,true,18,147,10371,599.19,4800,true,false
E2,multi-shot,11,true,18,217,180684,841.89,10000,true,false
