test,mode,horizon,optimized_enabled,effective_parallel_mode,compressed_candidate_engaged,translation_ms,setup_grounding_ms,solving_ms,memory_used_mb,raw_models_seen,raw_solutions_found,solutions_found,constraints_used,timed_out
metaCascabel,multi-shot,17,false,,false,36,474,4693,1024.66,72,72,18,true,false
metaCascabel,single-shot,17,false,,false,27,3188,3622,53.03,72,72,18,true,false
metaCascabel,single-shot,17,false,,false,33,1823,2143,53.92,72,72,18,true,false
metaCascabel,single-shot,17,false,,false,33,789,1169,54.22,72,72,18,true,false
metaCascabel,multi-shot,17,true,,true,31,276,1160,538.25,72,72,18,true,false
metaCascabel,multi-shot,17,false,"6,compete",false,33,515,4567,1863.94,72,72,18,true,false
metaCascabel,multi-shot,17,false,"6,compete",false,30,406,3825,1837.34,72,72,18,true,false
metaCascabel,multi-shot,17,false,"6,compete",false,34,486,4545,1793.94,72,72,72,true,false
metaCascabel,multi-shot,17,false,"6,compete",false,34,482,4589,1786.86,72,72,18,true,false
metaCascabel,multi-shot,17,false,"6,compete",false,32,393,3748,1817.58,72,72,18,true,false
metaCascabel,multi-shot,17,false,"6,compete",false,33,389,3640,1802.38,72,72,18,true,false
metaCascabel,multi-shot,17,false,"6,compete",false,31,390,3630,1808.12,72,72,18,true,false
metaCascabel,multi-shot,17,false,"6,compete",false,31,440,4023,2058.38,72,72,18,true,false
metaCascabel,multi-shot,17,false,"6,compete",false,32,444,4083,2054.95,72,72,18,true,false
metaCascabel,multi-shot,17,false,"6,compete",false,34,462,4845,2032.80,72,72,18,true,false
metaCascabel,multi-shot,17,false,"6,compete",false,33,456,4257,1806.77,72,72,18,true,false
metaCascabel,multi-shot,17,false,"6,compete",false,32,429,4062,2050.30,72,72,18,true,false
